,age,satisfaction_score,total_purchases,total_spend,avg_purchase_price,avg_floor_area,n_towers,pct_apartment,purchase_span_days,loan_flag,investment_flag,is_company
age,1.0,0.004380704368819391,0.08303709799389285,0.057237285728063435,-0.014993331637846425,-0.011253677402389728,0.07183423290635249,-0.014013906168925037,0.03663974177044256,-0.028792191988720486,-0.030804377550249378,-0.1074047514093617
satisfaction_score,0.004380704368819391,1.0,0.0700263486450738,0.04888922425733224,-0.003249631213557218,0.0002188477777463143,0.050359779755150776,0.011356416485714487,0.011577612134341188,-0.0002523711330536178,0.004726768312844655,0.006424074385169361
total_purchases,0.08303709799389285,0.0700263486450738,1.0,0.7096613249613741,-0.12595810607567617,-0.12529755232082462,0.9309517065651518,0.020667153720108012,0.2715524759461197,-0.005236460066536339,0.0009196166115582457,0.012914994549868589
total_spend,0.057237285728063435,0.04888922425733224,0.7096613249613741,1.0,0.5959599732120181,0.5688613487567487,0.6694103057220258,-0.016992735593495557,0.19651528228208578,-0.00179383310371684,-0.01386160196645062,0.0022635340506930142
avg_purchase_price,-0.014993331637846425,-0.003249631213557218,-0.12595810607567617,0.5959599732120181,1.0,0.9589439988191977,-0.12419315028280946,-0.056108087173124065,-0.035193996962280163,-0.0020394456967161904,-0.021464271106679395,-0.0074713466428316805
avg_floor_area,-0.011253677402389728,0.0002188477777463143,-0.12529755232082462,0.5688613487567487,0.9589439988191977,1.0,-0.12288958880496038,-0.028528385234003903,-0.046311701519076064,8.645075039229324e-05,-0.03032076522322254,-0.0047659164815862035
n_towers,0.07183423290635249,0.050359779755150776,0.9309517065651518,0.6694103057220258,-0.12419315028280946,-0.12288958880496038,1.0,0.01445797937002494,0.2805595924698255,0.015154526818943873,-0.015925800076928183,-0.004907865408404061
pct_apartment,-0.014013906168925037,0.011356416485714487,0.020667153720108012,-0.016992735593495557,-0.056108087173124065,-0.028528385234003903,0.01445797937002494,1.0,0.01022885696552246,-0.0020431854928693286,-0.029836032490403234,-0.0007963461168703029
purchase_span_days,0.03663974177044256,0.011577612134341188,0.2715524759461197,0.19651528228208578,-0.035193996962280163,-0.046311701519076064,0.2805595924698255,0.01022885696552246,1.0,0.0023199185218648883,0.004750073065904454,-0.012330611231334087
loan_flag,-0.028792191988720486,-0.0002523711330536178,-0.005236460066536339,-0.00179383310371684,-0.0020394456967161904,8.645075039229324e-05,0.015154526818943873,-0.0020431854928693286,0.0023199185218648883,1.0,0.01725505416701581,0.02390532723577317
investment_flag,-0.030804377550249378,0.004726768312844655,0.0009196166115582457,-0.01386160196645062,-0.021464271106679395,-0.03032076522322254,-0.015925800076928183,-0.029836032490403234,0.004750073065904454,0.01725505416701581,1.0,0.02121545497417047
is_company,-0.1074047514093617,0.006424074385169361,0.012914994549868589,0.0022635340506930142,-0.0074713466428316805,-0.0047659164815862035,-0.004907865408404061,-0.0007963461168703029,-0.012330611231334087,0.02390532723577317,0.02121545497417047,1.0
